Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
0032A00002Oa0FBQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Oa0cjQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002OvFZdQAN,Delete,No Activity 3+ Years,false,Not Synced
0032A00002OvIdtQAF,Delete,No Activity 3+ Years,false,Not Synced
0032A00002OvJ5nQAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002OvKY7QAN,Archive,Old Inactive Contact,false,Not Synced
0032A00002OvYtlQAF,Delete,No Activity 3+ Years,false,Not Synced
0032A00002OvcTgQAJ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Ovoa4QAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Ovp3uQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Ow8HTQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002OwAo5QAF,OK,,false,Not Synced
0032A00002OwBqvQAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002OxibLQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002OxlvyQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002OxyllQAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002OxynmQAB,OK,,false,Not Synced
0032A00002Oxzp4QAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Oy5TOQAZ,Archive,Old Inactive Contact,false,Not Synced
0032A00002OyLukQAF,Delete,No Activity 3+ Years,false,Not Synced
0032A00002OyN0oQAF,Delete,No Activity 3+ Years,false,Not Synced
0032A00002OyNQDQA3,Archive,Old Inactive Contact,false,Not Synced
0032A00002OyNsRQAV,Archive,Old Inactive Contact,false,Not Synced
0032A00002OyPU2QAN,Delete,No Activity 3+ Years,false,Not Synced
0032A00002OyYfZQAV,OK,,false,Not Synced
0032A00002OyZ7bQAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002Oyan4QAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002Oyz1OQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002OyzIKQAZ,Archive,Old Inactive Contact,false,Not Synced
0032A00002PTB42QAH,Archive,Old Inactive Contact,false,Not Synced
0032A00002PTPK3QAP,Duplicate,Master: 0032A00002aIg1dQAC,false,Not Synced
0032A00002PTQHoQAP,Delete,No Email or Phone,false,Not Synced
0032A00002PTTWIQA5,Archive,Old Inactive Contact,false,Not Synced
0032A00002PTUBpQAP,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PTVORQA5,Duplicate,Master: 0032A00002XRQ64QAH,false,Not Synced
0032A00002PTVtnQAH,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PTlE2QAL,Archive,Old Inactive Contact,false,Not Synced
0032A00002PTo95QAD,Archive,Old Inactive Contact,false,Not Synced
0032A00002PU2aKQAT,Archive,Old Inactive Contact,false,Not Synced
0032A00002PU2p5QAD,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PU2pPQAT,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PU3PSQA1,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PU4QMQA1,Archive,Old Inactive Contact,false,Not Synced
0032A00002PU4XcQAL,Archive,Old Inactive Contact,false,Not Synced
0032A00002PUAM6QAP,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PUMOHQA5,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PUNu0QAH,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PUO3NQAX,Archive,Old Inactive Contact,false,Not Synced
0032A00002PUPz2QAH,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PURqbQAH,OK,,false,Not Synced
0032A00002PV5xHQAT,Archive,Old Inactive Contact,false,Not Synced
0032A00002PV6zJQAT,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PV963QAD,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PVAHRQA5,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PVAJcQAP,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PVBvIQAX,Archive,Old Inactive Contact,false,Not Synced
0032A00002PVNf0QAH,OK,,false,Not Synced
0032A00002PVhUJQA1,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PVmqZQAT,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PVmrXQAT,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PVyTGQA1,Archive,Old Inactive Contact,false,Not Synced
0032A00002PVyYVQA1,Archive,Old Inactive Contact,false,Not Synced
0032A00002PVya2QAD,Archive,Old Inactive Contact,false,Not Synced
0032A00002PVyfHQAT,Archive,Old Inactive Contact,false,Not Synced
0032A00002PVyloQAD,Archive,Old Inactive Contact,false,Not Synced
0032A00002PVyuvQAD,Archive,Old Inactive Contact,false,Not Synced
0032A00002PVyzqQAD,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PVz1cQAD,Archive,Old Inactive Contact,false,Not Synced
0032A00002PVz8FQAT,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PVzK6QAL,Archive,Old Inactive Contact,false,Not Synced
0032A00002PVzRHQA1,Archive,Old Inactive Contact,false,Not Synced
0032A00002PVzUpQAL,Archive,Old Inactive Contact,false,Not Synced
0032A00002PVzXtQAL,Archive,Old Inactive Contact,false,Not Synced
0032A00002PW5oXQAT,OK,,false,Not Synced
0032A00002PW6KUQA1,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PW8HwQAL,Delete,No Activity 3+ Years,false,Not Synced
0032A00002PWKPwQAP,Archive,Old Inactive Contact,false,Not Synced
0032A00002PWL3kQAH,Archive,Old Inactive Contact,false,Not Synced
0032A00002PWQr1QAH,Archive,Old Inactive Contact,false,Not Synced
0032A00002PWS30QAH,Delete,No Email or Phone,false,Not Synced
0032A00002PWTIfQAP,OK,,false,Not Synced
0032A00002QD2CoQAL,Delete,No Activity 3+ Years,false,Not Synced
0032A00002QD2O1QAL,Archive,Old Inactive Contact,false,Not Synced
0032A00002QD2r9QAD,OK,,false,Not Synced
0032A00002QD37kQAD,Delete,No Activity 3+ Years,false,Not Synced
0032A00002QD3G3QAL,Delete,No Activity 3+ Years,false,Not Synced
0032A00002QD3YqQAL,Archive,Old Inactive Contact,false,Not Synced
0032A00002QD3drQAD,OK,,false,Not Synced
0032A00002QD3hjQAD,Delete,No Activity 3+ Years,false,Not Synced
0032A00002QD3tFQAT,Delete,No Activity 3+ Years,false,Not Synced
0032A00002QD43tQAD,OK,,false,Not Synced
0032A00002QD5QoQAL,Delete,No Activity 3+ Years,false,Not Synced
0032A00002QD5iOQAT,Archive,Old Inactive Contact,false,Not Synced
0032A00002QD6dyQAD,Archive,Old Inactive Contact,false,Not Synced
0032A00002QD7EGQA1,Archive,Old Inactive Contact,false,Not Synced
0032A00002QD7U0QAL,Archive,Old Inactive Contact,false,Not Synced
0032A00002QD7lVQAT,Delete,No Activity 3+ Years,false,Not Synced
0032A00002QD7pSQAT,Archive,Old Inactive Contact,false,Not Synced
0032A00002QDM6DQAX,OK,,false,Not Synced
0032A00002QDO5BQAX,Archive,Old Inactive Contact,false,Not Synced
0032A00002QDP5YQAX,Archive,Old Inactive Contact,false,Not Synced
0032A00002QDP6FQAX,Archive,Old Inactive Contact,false,Not Synced
0032A00002QDPAcQAP,Archive,Old Inactive Contact,false,Not Synced
0032A00002QDQWJQA5,Duplicate,Master: 0032A00002TyttrQAB,false,Not Synced
0032A00002QDRr4QAH,Delete,No Activity 3+ Years,false,Not Synced
0032A00002QDSqiQAH,Delete,No Activity 3+ Years,false,Not Synced
0032A00002QDgUiQAL,Delete,No Activity 3+ Years,false,Not Synced
